Question,Correct,False1,False2,False3,Difficulty
Who owns the blog called The Shade Tree Developer?,Jeremy D Miller,Scott Bellware,David Laribee,Dan North,3
What is NOT a dependency injection framework for .NET?,nDepend,Unity,StructureMap,Spring.NET,3
What is NOT a unit testing framework for .NET?,Unity,csUnit,MbUnit,xUnit.net,3
Whom are the developers of CodeRush?,Developer Express,Infragistics,JetBrains,Rushmore Code House,3
What is a language NOT running on the CLR?,Haskell,Boo,Brainf*ck,VB.NET,3
What is Oren Eini's messaging framework called?,Rhino ServiceBus,nServiceBus,MSMQ,Mass Transit,3
How many commands are there in the brainfuck programming language?,8,4,16,32,3
A problem with parity error indicates a problem with what?,memory,hard drive,I/O Controller,power supply,3
In what year did the World Wide Web Consortium release its draft of XML?,1996,1995,1994,1997,3
Which of the following Technology helps to locate the web services?,UDDI,WSDL,SOAP,XML,3
What is the term used to describe the process the Runtime uses to find an assembly?,Probing,Searching,Resolving,Locating,3
Trace switches can be set using which class?,TraceSwitch,DefaultTraceListener,TraceSwitches,Trace,3
Which tool allows you to install an assembly into the GAC?,Ngen.exe,Mscorcfg.msc,Setup.exe,sn.exe,3
ADO.NET synchronization API was introduced in what version of the .NET framework?,Version 3.5,Version 3.0,Version 1.1,Version 2.0,3
What was the original name of the C# language?,Cool,C+++,Anders C++,Another C++,3
When was C# 3.0 released?,November 2007,May 2007,November 2006,May 2006,3
"Who is the father of the wiki, who developed WikiWikiWeb in 1994?",Ward Cunningham,Grady Booch,Martin Fowler,Bill Gates,3
What Norwegian is known as one of the fathers of object oriented programming?,Ole-Johan Dahl,Anders Hejlsberg,Vebjørn Tandberg,Rune Grothaug,3
Ivar Jacobsen is famous for inventing what?,Use-cases,Scrum,Cowboy coding,SOA,3
"Who wrote Object-Oriented Software Construction, published in 1988?",Bertrand Meyer,Grady Booch,Scott Koon,Rockford Lhotka,3
What program language was designed by Bertrand Meyer?,Eiffel,Simula,C++,C#,3
Who created the Extreme Programming methodology?,Kent Beck,Michael Fethers,Jeremy D Miller,Udi Dahan,3
Who was NOT one of the original 17 signatories of the Agile Manifesto?,James Rumbaugh,Kent Beck,Robert C. Martin,Martin Fowler,3
Who is the owner of the scrummaster trademark?,Ken Schwaber,Michael Fethers,Bill Gates,Dan North,3
What method(s) must be used with the Application object to ensure that only one process accesses a variable at a time?,Lock(),Asynchroize(),Lock() and UnLock(),Synchronize(),2
What HTML element is the asp:Label control rendered as when the target is Internet Explorer?,<span>,<label>,<div>,<table>,2
"Given an ASP.NET Web Form called WebForm1, what class does the WebForm1 class inherit from by default?",System.Web.UI.Page,System.Web.UI.Form,System.Web.GUI.Page,System.Web.Form,2
What static method on ThreadPool do you use to run a method using a new thread?,QueueUserWorkItem,CreateDelegate,RunThreadJob,StartWorkerThread,2
What is not part of the ThreadPriority enumeration?,Medium,AboveNormal,Lowest,Highest,2
What is not a valid thread state?,StopRequested,SuspendRequested,Unstarted,WaitSleepJoin,3
What is not a valid thread state?,Idle,Running,Stopped,Aborted,2
What is not a valid thread state?,ThinkingAboutIt,Running,Stopped,Suspended,1
What is not an atomic operation on the Interlocked class?,Subtract,Increment,Decrement,Add,3
What is not an atomic operation on the Interlocked class?,Write,Exchange,CompareExhange,Read,3
What can you use to determine if an object o is a value type?,o.GetType().IsValueType,o.IsValueType,o.GetType().IsNullable,o == ValueType,2
In what namespace do you find the Stream class?,System.IO,System.Streams,System.Text,System,1
In what namespace do you find the String class?,System,System.Text,System.Objects,System.Collections,1
In what namespace do you find the StringBuilder class?,System.Text,System,System.String,System.IO,1
In what namespace do you find the Exception class?,System,System.Exceptions,System.Errors,System.OhNo,1
In what namespace do you find the Object class?,System,System.Classes,System.Core,System.Entities,1
In what namespace do you find the Array class?,System,System.Collections,System.Lists,System.Core,1
What is not a value type?,String,SByte,Int64,Decimal,1
What is not a value type?,Image,Double,DateTime,Char,1
What is the size of an Int32?,4 bytes,32 bytes,8 bytes,16 bytes,2
What is the size of a System.Double?,8 bytes,16 bytes,32 bytes,4 bytes,2
What is the size of a signed byte (System.SByte)?,1 byte,2 bytes,3 bytes,4 bytes,2
What is the size of a System.Char?,2 bytes,1 byte,4 bytes,8 bytes,2
What is the size of a System.Boolean?,1 byte,1 bit,2 bytes,1/2 byte,1
What is the size of a System.DateTime?,8 bytes,4 bytes,16 bytes,32 bytes,3
What is the range of a System.Byte?,0 to 255,-128 to 127,0 to 8,0 to 64,2
What is the max value of an Int32?,2.147.483.647,32.767,4.294.967.295,31.999.999.999,2
What of the following .net value types is the largest (in term of storage)?,Decimal,DateTime,Int64,Double,3
Checking a computer program for errors is called what?,Debugging,Bugging,Correcting,Syntaxing,1
What is not the name of a web testing tool?,SandCastle,Selenium,Watir,Watin,2
Who created CruiseControl.NET?,ThoughtWorks,Microsoft,Red Gate,Phil Haack,2
What assembly does not contain classes that are considered a part of the Base Class Library?,Microsoft.dll,mscorlib.dll,System.dll,System.core.dll,2
What namespace allows you to create applications that run as a service within Windows?,System.ServiceProcess ,System.ServiceModel,System.Service,System.Windows,2
"Which namespace do you use for protocols like HTTP, FTP, and SMTP?",System.Net,System.Web,System.Protocols,System.Messaging,2
What .Net namespace do you use to play system sounds and .wav files?,System.Media,System.Sound,System.Noice,System.Speakers,2
What namespace allow you to customize the way your application upgrades when using ClickOnce?,System.Deployment,System.ClickOnce,System.ServiceModel,System.Management,2
What namespace provides easy access to Active Directory from managed code?,System.DirectoryServices,System.ActiveDirectory,System.Management,System.LDAP,2
What .net namespace gives you objects to access COM+ services?,System.EnterpriseServices,System.Integration,System.ComServices,System.Messaging,2
What .net framework namespace allows you to administer message queues on the network?,System.Messaging,Microsoft.MSMQ,System.Services,System.Web.Messaging,2
Which namespace do you need to raise an event on a specified interval?,System.Timers,System.Threading,System.Jobs,System.Intervals,2
Where do you find the core WPF classes?,System.Windows,System.Windows.Forms,System.WPF,System.Core,2
"What is the default access specifier for a Top-level Class, which are not nested into other Classes?",internal,public,private,protected,1
Why can’t you specify the accessibility modifier for methods inside the interface,They all are public,They all are protected,They all are private,They are all internal,1
The C# keyword int maps to which .NET type?,Int32,Int16,Int64,Int128,1
What is not a creational design pattern?,Facade,Factory Method,Builder,Singleton,2
What design pattern encapsulates an algorithm inside a class?,Strategy,Factory Method,Builder,Proxy,2
What design pattern implements a way of notifying change to a number of classes?,Observer,Iterator,Command,Composite,2
What design pattern is used to capture and restore an object's internal state?,Memento,Observer,Strategy,Prototype,2
What do we call an object representing another object?,Proxy,Flyweight,Singleton,Clone,1
What do we call a single class that represents an entire subsystem?,Facade,Bridge,Singleton,Factory,2
What do we call a general reusable solution to a commonly occurring problem in software design?,Design Pattern,Solution Pattern,Code Pattern,General Pattern,1
The .NET Framework provides a runtime environment called..?,CLR,RMT,RCT,RC,1
In an ASP.NET forms page the object which contains the user name is..,Page.User.Identity,Page.User.IsInRole,Page.User.Name,None of these,2
The .NET framework provides automatic memory management using a technique called..,Garbage Collection,Serialization,Assemblies,Overriding,1
What is the base class from which all Web forms inherit?,Page Class,Master Page,Session Class,WebForms Class,1
Which of the following transfer execution directly to another page?,Server.Transfer,Server.Redirect,Server.GoTo,Server.Delegate,1
In .NET the operation of reading metadata and using its contents is known as..,Reflection,Enumeration,Binding,Serialization,1
If you want to convert an object into a stream of bytes then the process is called what?,Serialization,Threading,RCW,AppDomain,1
The technique that allow code to make function calls to .NET applications on other processes and on other machines is..,.NET Remoting,.NET Threading,.NET RMT,ASP.NET,1
In ASP.NET the sessions can be dumped by using..,Session.Abandon,Session.Dump,Session.Exit,Session.Kill,2
How many classes can a single .NET DLL contain?,Many,None,One,Two,1
The actual work process of ASP.NET is taken care of by..,aspnet_wp.exe,aspnet_isapi.dll,inetinfo.exe,asp_net.exe,2
ASP.NET separates the HTML output from program logic using a feature named..,Code-behind,Code-front,Exception,None of these,1
"In networking, what is meant by P2P?",Peer to Peer,People to People,Program to Program,Plan to Program,1
SQL stands for..,Structured Query Language,Standard Query Language,Storage Queuing Language,Storage Query Language,2
DDL stands for..,Data Definition Language,Data Division Language,Data Dividing Language,Digital Defining Language,2
The SQL*PLUS Command used to delete an existing table is..,DROP TABLE,DELETE TABLE,DEL TABLE,REMOVE TABLE,1
DML stands for..,Data Manipulation Language,Discrete Manipulation Language,Data Modifying Language,Digital Manipulation Language,3
The order of sorting can be changed by SQL command..,order by,order in,order to,order from,1
The SQL command used to avoid the selection of duplicate rows is..,DISTINCT,UNIQUE,NODUPLICATES,DISCRETE,1
"In order to fetch data from database, which of the following SQL command is used?",SELECT,GET,RECOVER,FETCH,1
The structure of a table can be seen by using the SQL command..,describe tablename,struct tablename,structure tablename,explain tablename,2
Databases: Joining a Table to itself is called..,Self Join,Outer Join,Inner Join,Recusive Join,2
Microsoft's virtualization system released in 2008 is called..,Hyper-V,Virtual PC,Wix,Ultra-V,1
What is the lightweight alternative to XML used for serialization in Ajax?,JSON,XAML,Boo,CORBA,2
